project_name,pull_total_mean,pull_opened_mean,pull_closed_mean,pull_merged_mean,commits_mean,stars_mean,forks_mean,languages_count,has_readme,has_contributing,has_wiki,has_project_board,has_issue_tracker,newcomers_mean,language,age,domain,owner,type
morris.js,3,1,2,3,10,97,16,5,1,0,1,1,1,0.0,CoffeeScript,5,Framework ou Biblioteca (Web),Organization,Nonreceptive
dynamics.js,2,0,1,1,10,156,11,1,1,0,0,1,1,0.0,CoffeeScript,3,Framework ou Biblioteca (Web),User,Nonreceptive
marp,4,1,2,5,27,360,20,5,1,0,1,1,1,1.0,CoffeeScript,1,Framework ou Biblioteca (Web),User,Nonreceptive
bacon.js,5,1,2,4,40,91,4,4,1,1,1,1,1,1.0,CoffeeScript,5,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
codecombat,57,2,8,50,303,124,63,7,1,1,1,1,1,1.5,CoffeeScript,4,Aplicação,Organization,Nonreceptive
At.js,2,1,1,2,10,68,8,4,1,1,1,1,1,1.0,CoffeeScript,5,Framework ou Biblioteca (Web),User,Nonreceptive
chroma.js,1,1,1,1,9,70,5,3,0,0,1,1,1,1.0,CoffeeScript,6,Framework ou Biblioteca (Web),User,Nonreceptive
sharelatex,1,3,1,2,7,102,11,2,1,1,1,1,1,1.5,CoffeeScript,3,Aplicação,Organization,Nonreceptive
textures,2,1,2,2,7,136,7,2,1,0,1,1,1,0.0,CoffeeScript,2,Framework ou Biblioteca (Web),User,Nonreceptive
turbolinks,3,1,1,2,14,211,13,4,1,0,1,1,1,0.0,CoffeeScript,1,Framework ou Biblioteca (Web),Organization,Nonreceptive
vibrant.js,1,1,1,1,3,141,5,3,1,0,1,1,1,0.0,CoffeeScript,2,Framework ou Biblioteca (Web),User,Nonreceptive
bootstrap-tour,3,1,2,2,14,62,12,4,1,0,0,1,1,1.0,CoffeeScript,5,Documentação,User,Nonreceptive
jquery.payment,2,0,3,2,7,64,9,2,1,0,0,1,1,0.0,CoffeeScript,5,Framework ou Biblioteca (Web),Organization,Nonreceptive
turbolinks-classic,6,1,3,4,16,59,7,5,1,0,1,1,1,0.0,CoffeeScript,5,Framework ou Biblioteca (Web),Organization,Nonreceptive
hubot-scripts,22,1,5,23,62,47,26,2,1,1,1,1,1,0.0,CoffeeScript,6,Ferramenta,Organization,Nonreceptive
pow,2,1,3,1,20,43,3,3,1,0,1,1,1,0.0,CoffeeScript,6,Ferramenta,Organization,Nonreceptive
Log.io,1,1,1,1,6,45,6,3,1,0,1,0,1,0.0,CoffeeScript,6,Framework ou Biblioteca (Web),Organization,Nonreceptive
activate-power-mode,4,1,2,4,15,146,19,2,1,0,1,1,1,1.0,CoffeeScript,2,Ferramenta,User,Nonreceptive
aglio,2,1,2,2,9,70,7,4,1,0,1,1,1,0.0,CoffeeScript,4,Framework ou Biblioteca (Web),User,Nonreceptive
wintersmith,2,1,2,1,10,50,4,2,1,0,1,1,1,0.0,CoffeeScript,5,Aplicação,User,Nonreceptive
Keypress,2,1,1,2,6,51,5,4,1,0,1,1,1,0.0,CoffeeScript,5,Framework ou Biblioteca (Web),User,Nonreceptive
chinese-copywriting-guidelines,1,1,1,1,7,70,7,1,1,0,0,0,1,0.0,CoffeeScript,3,Documentação,User,Nonreceptive
chaplin,8,1,2,8,33,44,4,2,1,1,1,1,1,0.0,CoffeeScript,5,Framework ou Biblioteca (Web),Organization,Nonreceptive
AFNetworking,17,3,9,9,40,389,120,3,1,1,1,1,1,1.0,Objective-C,6,Ferramenta,Organization,Nonreceptive
SDWebImage,7,1,4,4,15,191,55,2,1,0,1,1,1,1.4,Objective-C,8,Framework ou Biblioteca (Web),User,Nonreceptive
GPUImage,6,2,2,6,20,240,57,4,1,0,1,1,1,0.0,Objective-C,5,Framework ou Biblioteca (Não-web),User,Nonreceptive
Masonry,2,1,1,2,10,302,57,3,1,0,0,1,1,0.0,Objective-C,4,Framework ou Biblioteca (Não-web),Organization,Nonreceptive
MBProgressHUD,2,1,3,1,7,135,32,2,0,0,1,1,1,1.0,Objective-C,8,Framework ou Biblioteca (Não-web),User,Nonreceptive
fmdb,3,1,1,2,6,136,30,4,0,0,1,1,1,0.0,Objective-C,7,Sistema,User,Nonreceptive
